coord_x	coord_y
-45.472852	-10.314913
-45.463767	-10.328975
-45.45641	-10.338151
-45.447997	-10.345357
-45.439224	-10.351203
-45.429909	-10.359043
-45.426166	-10.365872
-45.42536	-10.369864
-45.425389	-10.375038
-45.426296	-10.377395
-45.429028	-10.394281
-45.429517	-10.403485
-45.428392	-10.413437
-45.424082	-10.42607
-45.418081	-10.431911
-45.408385	-10.435476
-45.403442	-10.438128
-45.395581	-10.444604
-45.395023	-10.447602
-45.395606	-10.451599
-45.399856	-10.462654
-45.409325	-10.472423
-45.421101	-10.480002
-45.430689	-10.487963
-45.445613	-10.504439
-45.446842	-10.507002
-45.446997	-10.508935
-45.443247	-10.513673
-45.438639	-10.521872
-45.437764	-10.525104
-45.438353	-10.535058
-45.439958	-10.541243
-45.446085	-10.551578
-45.446918	-10.555916
-45.445747	-10.561903
-45.439647	-10.569429
-45.43638	-10.576352
-45.436914	-10.615145
-45.435442	-10.622306
-45.432012	-10.630134
-45.424942	-10.638426
-45.418418	-10.643398
-45.411408	-10.645714
-45.398112	-10.645839
-45.389799	-10.647878
-45.384802	-10.651211
-45.37669	-10.662695
-45.37097	-10.672838
-45.368703	-10.679528
-45.367053	-10.691236
-45.364742	-10.700444
-45.36178	-10.706871
-45.361696	-10.722343
-45.359721	-10.72906
-45.357805	-10.731785
-45.342214	-10.743037
-45.329292	-10.755137
-45.32196	-10.759843
-45.313168	-10.762588
-45.294553	-10.763878
-45.288966	-10.765198
-45.284912	-10.766765
-45.277931	-10.770834
-45.272438	-10.772817
-45.268053	-10.775807
-45.266083	-10.779394
-45.263306	-10.793391
-45.259224	-10.803621
-45.25703	-10.811423
-45.250613	-10.817312
-45.247639	-10.821545
-45.245555	-10.82206
-45.235078	-10.818849
-45.218811	-10.816953
-45.218275	-10.818725
-45.219029	-10.822555
-45.218742	-10.825712
-45.217558	-10.828477
-45.215164	-10.8298
-45.204717	-10.832504
-45.202549	-10.832212
-45.200991	-10.832003
-45.192211	-10.833985
-45.186414	-10.83383
-45.177697	-10.836179
-45.173824	-10.835947
-45.170532	-10.834308
-45.165925	-10.83733
-45.159304	-10.838716
-45.139926	-10.838907
-45.132413	-10.838103
-45.123854	-10.840153
-45.116108	-10.840349
-45.104885	-10.846397
-45.086461	-10.839554
-45.081702	-10.83908
-45.072824	-10.839999
-45.067896	-10.842393
-45.06287	-10.847841
-45.049591	-10.851721
-45.045061	-10.859222
-45.043689	-10.86016
-45.036367	-10.861725
-45.030281	-10.866228
-45.021561	-10.874667
-45.019057	-10.878965
-45.017862	-10.882812
-45.016186	-10.884175
-45.006		-10.886515
-45.001722	-10.886594
-44.99698	-10.883887
-44.994634	-10.883471
-44.982567	-10.886127
-44.976425	-10.888919
-44.973508	-10.891051
-44.96989	-10.897815
-44.967966	-10.900085
-44.958746	-10.907296
-44.954781	-10.907637
-44.952696	-10.910265
-44.949608	-10.911645
-44.947571	-10.913413
-44.944171	-10.918753
-44.939545	-10.923062
-44.930808	-10.928332
-44.928015	-10.927523
-44.923829	-10.924686
-44.920534	-10.921378
-44.915647	-10.918403
-44.912551	-10.915645
-44.909575	-10.911532
-44.906222	-10.910514
-44.902277	-10.910462
-44.90077	-10.909593
-44.897035	-10.902515
-44.892825	-10.90072
-44.890822	-10.900676
-44.886494	-10.902248
-44.88402	-10.901887
-44.87804	-10.896415
-44.868294	-10.889692
-44.863392	-10.884802
-44.859253	-10.882756
-44.856249	-10.882892
-44.854614	-10.88407
-44.852476	-10.894108
-44.850325	-10.898411
-44.847182	-10.900632
-44.843889	-10.899609
-44.840331	-10.89638
-44.8307	-10.882557
-44.823825	-10.876091
-44.821765	-10.874731
-44.81398	-10.872264
-44.810733	-10.870003
-44.80792	-10.865726
-44.807202	-10.862911
-44.807941	-10.85449
-44.810083	-10.849003
-44.809914	-10.84616
-44.804444	-10.838585
-44.8011	-10.828169
-44.797384	-10.822864
-44.792306	-10.8173
-44.787653	-10.808098
-44.784909	-10.805921
-44.777763	-10.803604
-44.766901	-10.803619
-44.760218	-10.80502
-44.758516	-10.804423
-44.758156	-10.797914
-44.758849	-10.791578
-44.757931	-10.78856
-44.7508	-10.781702
-44.745678	-10.777157
-44.739066	-10.773948
-44.730393	-10.771468
-44.714166	-10.761302
-44.709483	-10.761112
-44.692611	-10.767638
-44.686803	-10.768782
-44.68028	-10.767493
-44.671269	-10.762638
-44.667276	-10.759633
-44.664081	-10.755176
-44.662376	-10.750138
-44.660913	-10.732271
-44.663046	-10.720072
-44.669136	-10.701357
-44.669175	-10.691641
-44.668389	-10.686664
-44.666214	-10.681919
-44.663802	-10.679424
-44.659788	-10.677547
-44.654849	-10.676273
-44.644512	-10.67728
-44.629662	-10.676198
